Brand Name,Category Name,Channel Type Name,Channel Name,Campaign Name,Start Date,End Date,Total Cost
Brand A,Eye,Digital Display,Partner Site / E Retail,testing ,2023-09-26,2023-09-28,7179
Brand B,Eye,Amazon,AMS,Amazon Campaign Festival,2023-08-17,2023-08-18,858.25
Brand A,Eye,Amazon,AMS,Amazon Campaign Festival,2023-06-03,2023-06-05,404.68
Brand A,Eye,Amazon,AMS,Amazon Campaign Standard,2023-04-01,2023-04-02,564.92
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,front_end,2023-09-25,2023-09-26,12
Brand A,Eye,Amazon,AMS,Amazon xCampaign Festival,2023-03-01,2023-03-01,366.66
Brand A,Eye,Amazon,AMS,Amazon Campaign Festival,2023-07-11,2023-07-14,342.21
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,test12,2023-09-01,2023-09-02,123
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-07-13,2023-07-20,9054.35
Brand A,Eye,Amazon,AMS,testing,2023-09-09,2023-09-10,123
Brand A,Eye,Amazon,AMS,test,2023-09-25,2023-09-26,19.2
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-07,2023-07-10,7683.35
Brand A,Eye,Amazon,AMS,Amazon Campaigns Standard,2023-08-02,2023-08-03,564.92
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-24,2023-07-29,9159.46
Brand A,Eye,Amazon,AMS,Amazon Czampaign Festivasl,2023-05-01,2023-05-06,564.92
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,Amazon Campaign Standard,2023-02-03,2023-02-05,404.68
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,java_test1,2023-11-05,2023-11-07,40.856
Brand A,Eye,Amazon,AMS,Amazon Campaign Big Savings,2023-07-22,2023-07-24,334.06
Brand A,Eye,Digital Display,Partner Site / E Retail,Digital Display Campaign standard,2023-02-17,2023-02-18,30340.26
Brand A,Eye,Amazon,AMS,Test-API,2023-09-26,2023-09-27,12.3
Brand A,Eye,Amazon,AMZ,test,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMZ,test,2023-09-06,2023-09-07,1
Brand A,Eye,Amazon,AMS,test,2023-09-26,2023-09-27,12
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,Amazon Campaign Festival,2023-04-02,2023-04-04,564.92
Brand A,Eye,Digital Display,Partner Site / E Retail,Test,2023-09-20,2023-09-25,34643
Brand A,Eye,Digital Display,Partner Site / E Retail,Digital Display Campaign Evergreen,2023-07-17,2023-07-18,11539.55
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,Amazon Campaign Big Savings,2023-08-19,2023-08-19,942.44
Brand A,Eye,Amazon,AMS,test,2023-09-25,2023-09-26,19.2
Brand A,Eye,Digital Display,Owned Site,Digitals Displays Campaign Festival,2023-08-07,2023-08-09,29921.15
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-08-14,2023-08-14,27788.75
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Digital Display,Owned Site,Digiztal Display Campaign standard,2023-02-07,2023-02-09,15514.16
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-07,2023-07-10,12840.35
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMZ,test,2023-09-26,2023-09-27,2
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-14,2023-07-19,27558.26
Brand A,Eye,Amazon,AMS,Amazon Campaign Standard,2023-01-01,2023-01-01,564.92
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand C,Eye,Amazon,AMZ,File_API_post,2023-10-03,2023-10-11,129
Brand A,Eye,Amazon,AMS,API Test,2023-08-20,2023-08-20,12.3
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
Brand A,Eye,Amazon,AMZ,testing_heliosz_campaign_calender,2023-09-01,2023-09-02,1212
Brand A,Eye,Amazon,AMS,API_test,2023-09-04,2023-09-05,12.33
